# showered cut acceptances for CMSalphaT
# (colored sparticle combination given by filename)
# column 1: squark mass
# column 2: gluino mass
# column 3: lighter neutralino mass
# column 4: heavier neutralino mass
# columns 5 to 11: acceptances for combinations of the below cuts.
# column 5 is all the cuts. the next columns relax
# some of the cuts in a binary ordering. to relax cut
# n, go along 2^( n - 1 ) columns from column 5
# [e.g. column 6 relaxes cut 1, column 9 relaxes
# cut 3]. subsequent applications of this work
# [e.g. column 10 relaxes cuts 1 and 3, as it is
# column 5 + 2^( 1 - 1 ) + 2^( 3 - 1 )]
# cut 1: 2 jet pT cuts: 100, 100 GeV (also |eta| < 3)
# cut 2: cut on scalar sum of jet pTs > 350
# cut 3: CMS alphaT cut > 0.55
 200 1400 0 80 0.0252151 0.0252151 0.0252151 0.0252151 0.998899 0.9997 0.998899
 200 1400 0 0 0.0238071 0.0241072 0.0238071 0.0244073 0.9985 0.9994 0.9985
 200 1400 80 160 0.026808 0.026808 0.0270081 0.0271081 0.9989 0.9994 0.9991
 200 1400 80 80 0.0289116 0.0291116 0.0290116 0.0293117 0.998299 0.9995 0.998499
 200 1400 160 160 0.0494198 0.0496198 0.0495198 0.04992 0.998399 0.9994 0.998599
 200 1500 0 160 0.0228023 0.0228023 0.0229023 0.0230023 0.9986 0.9994 0.999
 200 1500 0 80 0.023207 0.023307 0.023207 0.0235071 0.9991 0.9995 0.9992
 200 1500 0 0 0.0247124 0.0247124 0.0247124 0.0247124 0.9996 0.9999 0.9996
 200 1500 80 160 0.0261052 0.0264053 0.0261052 0.0264053 0.9987 0.9995 0.9988
 200 1500 80 80 0.0304152 0.0305153 0.0304152 0.0305153 0.998899 0.9995 0.9992
 200 1500 160 160 0.0464139 0.046714 0.0464139 0.046714 0.997699 0.9995 0.997899
 200 1600 0 160 0.0252101 0.0253101 0.0252101 0.0257103 0.9992 0.9995 0.9993
 200 1600 0 80 0.0198 0.0198 0.0198 0.0198 0.9992 0.9997 0.9993
 200 1600 0 0 0.0240024 0.0240024 0.0241024 0.0242024 0.9989 0.9996 0.9992
 200 1600 80 160 0.027411 0.027611 0.027411 0.0277111 0.999 0.9998 0.999
